"","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted"
"2007-01-03",26,26.77,25.74,26.61,2348700,26.61
"2007-01-04",26.41,26.8,25.1,25.35,2279900,25.35
"2007-01-05",25.34,25.34,24.45,24.81,2170100,24.81
"2007-01-08",24.82,24.89,23.57,23.83,2620700,23.83
"2007-01-09",23.99,24.08,23.52,23.99,1515900,23.99
"2007-01-10",23.97,24.25,23.88,24.07,1635500,24.07
"2007-01-11",23.96,24.55,23.88,24.24,1304300,24.24
"2007-01-12",23.86,23.88,22.69,22.71,3167300,22.71
"2007-01-16",24.25,24.4,22.7,22.74,4304900,22.74
"2007-01-17",22.82,23.05,22.64,22.83,2172000,22.83
"2007-01-18",22.76,22.98,22.17,22.25,1614100,22.25
"2007-01-19",22.22,22.82,22.2,22.56,1736000,22.56
"2007-01-22",22.85,22.97,21.8,21.9,2656500,21.9
"2007-01-23",21.8,22.33,21.7,21.76,2891300,21.76
"2007-01-24",21.9,23,21.3,22.75,6317200,22.75
"2007-01-25",23.91,24.25,22.72,23.25,9198500,23.25
"2007-01-26",23.56,23.6,22.75,23.15,1981400,23.15
"2007-01-29",22.26,22.76,22.06,22.55,3108800,22.55
"2007-01-30",22.64,22.96,22.55,22.93,1255600,22.93
"2007-01-31",22.78,23.13,22.7,22.81,1465200,22.81
"2007-02-01",22.88,23.1,22.65,22.73,1126900,22.73
"2007-02-02",22.75,23.08,22.7,22.84,1409200,22.84
"2007-02-05",23,23,22.54,22.6,796100,22.6
"2007-02-06",22.5,22.67,22.16,22.32,2257900,22.32
"2007-02-07",22.25,23.06,22.23,22.9,1603400,22.9
"2007-02-08",23.48,23.83,23.11,23.75,2791700,23.75
"2007-02-09",23.78,23.78,23.08,23.11,1123600,23.11
"2007-02-12",23.03,23.47,22.99,23.13,1017100,23.13
"2007-02-13",23.23,23.25,22.83,22.9,691700,22.9
"2007-02-14",22.9,23.19,22.2,22.6,5167800,22.6
"2007-02-15",22.48,22.7,22.41,22.5,1183800,22.5
"2007-02-16",22.52,22.91,22.38,22.87,1504700,22.87
"2007-02-20",22.95,23.6,22.93,23.51,1755800,23.51
"2007-02-21",23.52,23.56,23.22,23.39,9257400,23.39
"2007-02-22",23.42,23.88,23.42,23.75,1254700,23.75
"2007-02-23",23.76,23.85,23.5,23.53,1196500,23.53
"2007-02-26",23.71,23.82,21.5,23.13,888100,23.13
"2007-02-27",22.77,22.85,22.1,22.1,1788600,22.1
"2007-02-28",22.11,22.91,22.09,22.53,1269000,22.53
"2007-03-01",22.36,23.04,22.1,22.83,1775600,22.83
"2007-03-02",22.83,23,22.27,22.29,1153300,22.29
"2007-03-05",22.01,22.16,21.05,21.06,2443000,21.06
"2007-03-06",21.25,21.91,20.91,21.44,2019000,21.44
"2007-03-07",21.5,21.6,21.07,21.18,1228500,21.18
"2007-03-08",21.21,21.63,21.21,21.24,902900,21.24
"2007-03-09",21.5,21.5,20.87,21.06,955200,21.06
"2007-03-12",21,21.21,20.7,21.08,958500,21.08
"2007-03-13",21,21.16,20.5,20.55,1340600,20.55
"2007-03-14",20.51,21.15,20.3,21.11,1173700,21.11
"2007-03-15",21.17,21.35,20.89,21.16,919400,21.16
"2007-03-16",21.15,21.22,20.77,21.02,952300,21.02
"2007-03-19",21.11,21.5,21.08,21.36,816000,21.36
"2007-03-20",21.37,22.79,21.34,22.48,2281300,22.48
"2007-03-21",22.55,23.31,22.18,23.05,2282500,23.05
"2007-03-22",23,23.26,22.81,23.1,814200,23.1
"2007-03-23",23,23.78,22.93,23.73,1459400,23.73
"2007-03-26",23.75,23.8,22.97,23.26,1060100,23.26
"2007-03-27",23.33,23.7,23.24,23.58,1316900,23.58
"2007-03-28",23.62,23.62,23.07,23.38,783100,23.38
"2007-03-29",23.41,23.62,22.88,23.45,954500,23.45
"2007-03-30",23.41,23.85,23.1,23.19,760100,23.19
"2007-04-02",23.3,23.73,23.19,23.48,1034800,23.48
"2007-04-03",23.56,24.12,23.51,23.78,1268300,23.78
"2007-04-04",23.88,24.63,23.37,24.53,2017800,24.53
"2007-04-05",24.44,24.48,24.08,24.2,778800,24.2
"2007-04-09",24.23,24.56,24.23,24.34,596400,24.34
"2007-04-10",24.48,24.99,24.48,24.86,1153600,24.86
"2007-04-11",24.72,24.75,24.33,24.6,997000,24.6
"2007-04-12",24.45,24.9,24.16,24.6,780900,24.6
"2007-04-13",24.57,24.66,24.4,24.6,513000,24.6
"2007-04-16",24.7,24.8,24.44,24.52,654300,24.52
"2007-04-17",24.6,24.6,23.84,23.96,1732100,23.96
"2007-04-18",21.2,22.29,20.88,21.7,7849000,21.7
"2007-04-19",21.13,21.51,20.98,21.51,4020800,21.51
"2007-04-20",22,22.15,21.78,22.1,1837500,22.1
"2007-04-23",22.03,22.08,21.64,21.73,1973100,21.73
"2007-04-24",21.75,21.85,21.36,21.62,1274000,21.62
"2007-04-25",21.71,22.13,21.38,21.56,1200400,21.56
"2007-04-26",21.5,22.26,21.5,22.13,1394600,22.13
"2007-04-27",22.2,22.28,21.93,22.21,805400,22.21
"2007-04-30",22.2,22.27,21.97,22.17,1321100,22.17
"2007-05-01",22.13,22.29,21.82,22.15,1360200,22.15
"2007-05-02",21.92,22.94,21.89,22.11,2662800,22.11
"2007-05-03",22.03,22.77,21.99,22.29,1973700,22.29
"2007-05-04",22.55,22.57,22,22.16,939700,22.16
"2007-05-07",22.16,22.34,22.14,22.22,594600,22.22
"2007-05-08",22.09,22.42,21.9,22.14,820200,22.14
"2007-05-09",22.01,22.24,21.96,22.11,569800,22.11
"2007-05-10",22.01,22.11,21.82,21.91,1020500,21.91
"2007-05-11",21.76,22.1,21.64,22.06,687000,22.06
"2007-05-14",22.01,22.1,21.72,21.96,636300,21.96
"2007-05-15",21.94,22.04,21.62,21.75,675200,21.75
"2007-05-16",21.76,21.99,21.22,21.72,719500,21.72
"2007-05-17",21.57,21.98,21.52,21.82,734600,21.82
"2007-05-18",21.85,22.01,21.71,21.94,635200,21.94
"2007-05-21",21.91,22.64,21.86,22.5,951900,22.5
"2007-05-22",22.46,23.11,22.28,23,1003500,23
"2007-05-23",22.99,23.45,22.8,23.19,1754400,23.19
"2007-05-24",23.07,23.43,22.39,22.54,914400,22.54
"2007-05-25",22.61,22.82,22.41,22.52,853500,22.52
"2007-05-29",22.06,22.1,21.34,21.85,1652500,21.85
"2007-05-30",21.65,22.08,21.57,22.06,1046600,22.06
"2007-05-31",22,22.28,21.87,21.9,1004000,21.9
"2007-06-01",21.84,22.28,21.35,21.57,1147100,21.57
"2007-06-04",21.39,21.63,21.35,21.48,792300,21.48
"2007-06-05",21.37,21.62,21.21,21.39,840700,21.39
"2007-06-06",21.34,22.78,21.31,22.6,4774000,22.6
"2007-06-07",22.8,25.99,22.78,23.93,8443300,23.93
"2007-06-08",24,24.1,23.04,23.43,2005400,23.43
"2007-06-11",22.25,22.65,21.81,21.93,2576400,21.93
"2007-06-12",21.02,21.31,19.89,20.08,5739500,20.08
"2007-06-13",19.5,20.08,19.05,19.42,3915400,19.42
"2007-06-14",19.4,19.56,19.09,19.18,1623300,19.18
"2007-06-15",20.05,20.17,19.62,19.71,3156200,19.71
"2007-06-18",20.42,20.45,19.9,20.02,1748000,20.02
"2007-06-19",20.24,20.27,19.9,19.93,1129900,19.93
"2007-06-20",20.18,20.24,19.51,19.55,911100,19.55
"2007-06-21",19.54,20.32,19.51,19.99,1439700,19.99
"2007-06-22",20.02,20.12,19.6,19.68,1049000,19.68
"2007-06-25",19.75,19.98,19.56,19.62,971800,19.62
"2007-06-26",19.96,19.99,19.5,19.52,826600,19.52
"2007-06-27",19.54,21.26,19.51,20.78,3013100,20.78
"2007-06-28",20.69,20.69,19.78,19.85,2103600,19.85
"2007-06-29",20.07,20.17,19.36,19.39,1726300,19.39
"2007-07-02",19.5,19.85,19.37,19.48,1138600,19.48
"2007-07-03",19.61,19.99,19.59,19.77,440800,19.77
"2007-07-05",19.95,20.1,19.77,19.82,925800,19.82
"2007-07-06",19.84,20.48,19.84,20.39,1153000,20.39
"2007-07-09",20.5,20.7,20.31,20.43,1167000,20.43
"2007-07-10",20.41,20.84,20,20.12,1264800,20.12
"2007-07-11",20.24,20.24,19.9,20.01,785300,20.01
"2007-07-12",20.01,20.38,19.89,20.11,803200,20.11
"2007-07-13",20.02,20.45,20.02,20.14,663400,20.14
"2007-07-16",20.24,20.31,20,20.06,736100,20.06
"2007-07-17",20.03,20.3,20.01,20.21,646400,20.21
"2007-07-18",20.24,20.24,19.75,20.12,928300,20.12
